"playerId","player","team","position","dataScrapeId","dstBlk","dstFumlRec","dstInt","dstPtsAllow","dstRetTd","dstSack","dstSafety","dstTd","fg","fg0019","fg2029","fg3039","fg4049","fg50","fgAtt","fgMiss","fumbles","games","idpAst","idpFumlForce","idpFumlRec","idpInt","idpPD","idpSack","idpSolo","idpTFL","idpTd","pass300","pass350","pass40","pass400","passAtt","passComp","passCompPct","passInc","passInt","passTds","passYds","rec","rec100","rec150","rec200","rec40","recTds","recYds","returnTds","returnYds","rush100","rush150","rush200","rush40","rushAtt","rushTds","rushYds","sacks","twoPts","xp"
2507232,"Mason Crosby","GB","K",70,NA,NA,NA,NA,NA,NA,NA,NA,24.8378335795175,0.636596753644194,7.9319548123749,8.55941440109569,6.43675232400873,2.47147059010732,30.0036829148203,4.2,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.0449128576126
2507374,"Steven Hauschka","BUF","K",70,NA,NA,NA,NA,NA,NA,NA,NA,26.7948695224028,0.256823707024639,7.09676918280756,7.86333023821601,7.92807436433686,3.28463852074683,30.6504283604136,3.9,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.7569713909898
2507428,"Mike Tolbert","FA","RB",70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6742209631728,NA,NA,NA,0,0,33.0311614730878,0,0,NA,NA,NA,0,17.7620396600567,0.311614730878187,70.4249291784702,NA,0,NA
2507557,"Chris Baker","CIN","DL",70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,8.29245296167247,0.309965156794425,0.0917073170731707,0.0917073170731707,1.11545644599303,1.2,18.7879024390244,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2507590,"Steve McLendon","NYJ","DL",70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,11.0294006968641,0.207937282229965,0.144160278745645,0,0.203770034843206,2.2,20.8703344947735,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2507617,"Michael Bennett","PHI","DL",70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,14.6974425087108,1.01340069686411,0.434648083623693,0,0.917045296167247,9.8,27.7627456445993,9.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2507644,"Ramon Humber","BUF","LB",70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,12.9201324041812,0.230585365853659,0.0550243902439024,0,0.610648083623693,0.7,26.631275261324,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2507763,"Mike Wallace","PHI","WR",70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39075,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.6160326086957,1.4,0.5,0.2,3.2,3.84201907267346,657.485139756659,0,0,NA,NA,NA,0,0.640579545454546,0,3.33332055582175,NA,0.0270781893004115,NA
2507780,"Ziggy Hood","WAS","DL",70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,6.81257575757576,0.1028125,0.130852272727273,0.0654261363636364,0.79313446969697,0,9.21738636363636,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2507784,"Michael Johnson","CIN","DL",70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,12.454487804878,0.748836236933798,0.139853658536585,0.0412682926829268,1.36963066202091,2.4,30.1834982578397,7.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
