"playerId","fg","fgAtt","xp","fgMiss","analyst","player","position","games","fg0019","fg2029","fg3039","fg4049","fg50","fg0039","season"
2504257,28,33.4,40.3,5.4,9,"Sebastian Janikowski","K",NA,NA,NA,NA,NA,NA,NA,2016
2504797,29.9,34.1,46.4,4.2,9,"Matt Bryant","K",NA,NA,NA,NA,NA,NA,NA,2016
2506194,27.4,32.5,30.9,5.1,9,"Nick Novak","K",NA,NA,NA,NA,NA,NA,NA,2016
2506677,28.1,32.1,35.8,4,9,"Matt Prater","K",NA,NA,NA,NA,NA,NA,NA,2016
2506922,31,35.9,49.9,4.9,9,"Stephen Gostkowski","K",NA,NA,NA,NA,NA,NA,NA,2016
2507232,27.9,32.6,45.8,4.7,9,"Mason Crosby","K",NA,NA,NA,NA,NA,NA,NA,2016
2507463,23.1,28.8,32,5.7,9,"Connor Barth","K",NA,NA,NA,NA,NA,NA,NA,2016
2533444,25.7,30.6,36.3,4.9,9,"Randy Bullock","K",NA,NA,NA,NA,NA,NA,NA,2016
2534797,22.6,27.3,28.4,4.7,9,"Greg Zuerlein","K",NA,NA,NA,NA,NA,NA,NA,2016
2536340,31.8,35.1,34.5,3.3,9,"Justin Tucker","K",NA,NA,NA,NA,NA,NA,NA,2016
2539227,28.3,34.1,38.5,5.8,9,"Dustin Hopkins","K",NA,NA,NA,NA,NA,NA,NA,2016
2539637,28.3,33.8,35.5,5.5,9,"Caleb Sturgis","K",NA,NA,NA,NA,NA,NA,NA,2016
2541556,27.2,32.3,33.5,5.1,9,"Brandon McManus","K",NA,NA,NA,NA,NA,NA,NA,2016
2550380,22.3,27.7,28.2,5.4,9,"Cody Parkey","K",NA,NA,NA,NA,NA,NA,NA,2016
2550545,27,31.6,39,4.6,9,"Chris Boswell","K",NA,NA,NA,NA,NA,NA,NA,2016
2550636,28.4,33.4,36.2,5,9,"Cairo Santos","K",NA,NA,NA,NA,NA,NA,NA,2016
2553648,21.7,26.8,35.9,5.1,9,"Andrew Franks","K",NA,NA,NA,NA,NA,NA,NA,2016
71309,23,NA,44,NA,19,"Graham Gano","K",NA,NA,NA,NA,NA,NA,NA,2016
2495259,27,NA,44,NA,19,"Dan Bailey","K",NA,NA,NA,NA,NA,NA,NA,2016
2500351,30,NA,39,NA,19,"Phil Dawson","K",NA,NA,NA,NA,NA,NA,NA,2016
2503471,26,NA,39,NA,19,"Adam Vinatieri","K",NA,NA,NA,NA,NA,NA,NA,2016
2504257,29,NA,35,NA,19,"Sebastian Janikowski","K",NA,NA,NA,NA,NA,NA,NA,2016
2504797,29,NA,47,NA,19,"Matt Bryant","K",NA,NA,NA,NA,NA,NA,NA,2016
2506922,25,NA,51,NA,19,"Stephen Gostkowski","K",NA,NA,NA,NA,NA,NA,NA,2016
2507225,23,NA,32,NA,19,"Nick Folk","K",NA,NA,NA,NA,NA,NA,NA,2016
2507232,23,NA,51,NA,19,"Mason Crosby","K",NA,NA,NA,NA,NA,NA,NA,2016
2507374,24,NA,45,NA,19,"Steven Hauschka","K",NA,NA,NA,NA,NA,NA,NA,2016
2507401,20,NA,30,NA,19,"Dan Carpenter","K",NA,NA,NA,NA,NA,NA,NA,2016
2536340,28,NA,39,NA,19,"Justin Tucker","K",NA,NA,NA,NA,NA,NA,NA,2016
71309,27,34.8,40,0,28,"Graham Gano","K",16,NA,NA,NA,NA,NA,NA,2016
89802,24,31,40,0,28,"Ryan Succop","K",16,NA,NA,NA,NA,NA,NA,2016
2495150,26,30.9,36,0,28,"Kai Forbath","K",16,NA,NA,NA,NA,NA,NA,2016
2495259,28,32.8,43,0,28,"Dan Bailey","K",16,NA,NA,NA,NA,NA,NA,2016
2503471,27,34,43,0,28,"Adam Vinatieri","K",16,NA,NA,NA,NA,NA,NA,2016
2504257,26,30.4,42,0,28,"Sebastian Janikowski","K",16,NA,NA,NA,NA,NA,NA,2016
2504797,29,36.3,45,0,28,"Matt Bryant","K",16,NA,NA,NA,NA,NA,NA,2016
2506194,27,32.4,33,0,28,"Nick Novak","K",16,NA,NA,NA,NA,NA,NA,2016
2506677,26,32,38,0,28,"Matt Prater","K",16,NA,NA,NA,NA,NA,NA,2016
2506922,29,35.7,51,0,28,"Stephen Gostkowski","K",16,NA,NA,NA,NA,NA,NA,2016
2507232,26,32.5,48,0,28,"Mason Crosby","K",16,NA,NA,NA,NA,NA,NA,2016
2507463,21,24.2,31,0,28,"Connor Barth","K",16,NA,NA,NA,NA,NA,NA,2016
2533444,26,30.9,36,0,28,"Randy Bullock","K",16,NA,NA,NA,NA,NA,NA,2016
2534797,23,29.2,30,0,28,"Greg Zuerlein","K",16,NA,NA,NA,NA,NA,NA,2016
2536340,32,37.1,35,0,28,"Justin Tucker","K",16,NA,NA,NA,NA,NA,NA,2016
2539227,28,34.7,41,0,28,"Dustin Hopkins","K",16,NA,NA,NA,NA,NA,NA,2016
2539637,27,34.3,38,0,28,"Caleb Sturgis","K",16,NA,NA,NA,NA,NA,NA,2016
2541556,27,31.1,36,0,28,"Brandon McManus","K",16,NA,NA,NA,NA,NA,NA,2016
2550380,22,27.9,27,0,28,"Cody Parkey","K",16,NA,NA,NA,NA,NA,NA,2016
2550545,26,30.9,41,0,28,"Chris Boswell","K",16,NA,NA,NA,NA,NA,NA,2016
2550636,27,34,37,0,28,"Cairo Santos","K",16,NA,NA,NA,NA,NA,NA,2016
2553648,21,26.7,37,0,28,"Andrew Franks","K",16,NA,NA,NA,NA,NA,NA,2016
2556450,0,0,0,0,28,"Nick Rose","K",16,NA,NA,NA,NA,NA,NA,2016
2556601,24,27.8,48,0,28,"Wil Lutz","K",16,NA,NA,NA,NA,NA,NA,2016
71309,32.8,41,41.4,8.2,-1,"Graham Gano","K",NA,NA,NA,NA,NA,NA,NA,2017
89802,24,26.4,38.7,2.4,-1,"Ryan Succop","K",NA,NA,NA,NA,NA,NA,NA,2017
2495150,27.5,30,34.5,2.5,-1,"Kai Forbath","K",NA,NA,NA,NA,NA,NA,NA,2017
2495259,29.2,33.4,41.9,4.2,-1,"Dan Bailey","K",NA,NA,NA,NA,NA,NA,NA,2017
2500351,25.8,29.7,42.6,3.9,-1,"Phil Dawson","K",NA,NA,NA,NA,NA,NA,NA,2017
2503471,27.5,31.1,39.1,3.6,-1,"Adam Vinatieri","K",NA,NA,NA,NA,NA,NA,NA,2017
2504257,31.4,38.1,43.3,6.7,-1,"Sebastian Janikowski","K",NA,NA,NA,NA,NA,NA,NA,2017
2504797,34.7,38.3,49.4,3.59999999999999,-1,"Matt Bryant","K",NA,NA,NA,NA,NA,NA,NA,2017
2506264,22.2,24.2,31.3,2,-1,"Robbie Gould","K",NA,NA,NA,NA,NA,NA,NA,2017
2506677,27.2,31,33.3,3.8,-1,"Matt Prater","K",NA,NA,NA,NA,NA,NA,NA,2017
2506922,37,41.8,49.2,4.8,-1,"Stephen Gostkowski","K",NA,NA,NA,NA,NA,NA,NA,2017
2507225,27,31.3,37.9,4.3,-1,"Nick Folk","K",NA,NA,NA,NA,NA,NA,NA,2017
2507232,30.8,35.9,48.7,5.1,-1,"Mason Crosby","K",NA,NA,NA,NA,NA,NA,NA,2017
2507374,22.4,24.8,35.9,2.4,-1,"Steven Hauschka","K",NA,NA,NA,NA,NA,NA,NA,2017
2507463,22,27.7,30.4,5.7,-1,"Connor Barth","K",NA,NA,NA,NA,NA,NA,NA,2017
2532968,28.5,35.5,37.1,7,-1,"Blair Walsh","K",NA,NA,NA,NA,NA,NA,NA,2017
2533444,27.5,32,33.5,4.5,-1,"Randy Bullock","K",NA,NA,NA,NA,NA,NA,NA,2017
2534797,20.5,25.6,27.8,5.1,-1,"Greg Zuerlein","K",NA,NA,NA,NA,NA,NA,NA,2017
2536340,32.1,34.3,34.4,2.2,-1,"Justin Tucker","K",NA,NA,NA,NA,NA,NA,NA,2017
2539227,31.8,38.5,38.2,6.7,-1,"Dustin Hopkins","K",NA,NA,NA,NA,NA,NA,NA,2017
2539637,30.8,36.4,36.7,5.6,-1,"Caleb Sturgis","K",NA,NA,NA,NA,NA,NA,NA,2017
2541556,27.1,31.4,33.2,4.3,-1,"Brandon McManus","K",NA,NA,NA,NA,NA,NA,NA,2017
2550325,22.8,28.7,26.7,5.9,-1,"Chandler Catanzaro","K",NA,NA,NA,NA,NA,NA,NA,2017
2550380,19.5,24.4,33.6,4.9,-1,"Cody Parkey","K",NA,NA,NA,NA,NA,NA,NA,2017
