"player_id","trim_name","player_name","position","status","draft_year","years_played","gsis_id"
1292,"CHARLESGODFREY","Charles Godfrey","CB","RET",2008,8,NA
1294,"JACKIKEGWUONU","Jack Ikegwuonu","CB","RET",2008,2,NA
1296,"CHEVISJACKSON","Chevis Jackson","CB","RET",2008,4,NA
1298,"LEODISMCKELVIN","Leodis McKelvin","CB","RET",2008,9,NA
1302,"AQIBTALIB","Aqib Talib","DB","ACT",2007,11,"00-0026160"
1306,"MARCUSWALKER","Marcus Walker","CB","RET",2008,3,NA
1308,"TRAEWILLIAMS","Trae Williams","CB","RET",2008,3,NA
1330,"CLIFFAVRIL","Cliff Avril","DL","RET",2008,10,NA
1334,"CHRISHARRINGTON","Chris Harrington","LB","RET",2008,3,NA
1336,"NICKHAYDEN","Nick Hayden","DL","RET",2008,9,NA
1338,"KENNYIWEBEMA","Kenny Iwebema","DL","RET",2008,4,NA
1344,"AHTYBARUBIN","Ahtyba Rubin","NT","ACT",2007,11,NA
1355,"JEHUUCAULCRICK","Jehuu Caulcrick","RB","RET",2008,4,NA
1357,"THOMASDECOUD","Thomas DeCoud","CB","RET",2008,7,NA
1359,"JORDONDIZON","Jordon Dizon","LB","RET",2008,3,NA
1361,"TAVARESGOODEN","Tavares Gooden","LB","RET",2008,6,NA
1363,"ERINHENDERSON","Erin Henderson","LB","RET",2008,8,NA
1365,"JACOBHESTER","Jacob Hester","RB","RET",2008,6,"00-0026209"
1367,"MIKEHUMPAL","Mike Humpal","LB","RET",2008,1,NA
1369,"BRYANKEHL","Bryan Kehl","LB","RET",2008,6,NA
1371,"JEREMYLEMAN","Jeremy Leman","LB","RET",2008,4,NA
1373,"TAYLORMEHLHAFF","Taylor Mehlhaff","K","RET",2008,2,NA
1375,"KENNYPHILLIPS","Kenny Phillips","CB","RET",2008,7,"00-0026171"
1377,"CARLSTEWART","Carl Stewart","RB","RET",2008,1,NA
1579,"DOMINIQUEBARBER","Dominique Barber","CB","RET",2008,4,NA
1581,"DESEANJACKSON","DeSean Jackson","WR","ACT",2007,11,"00-0026189"
1678,"DALEDORNING","Dale Dorning","DL","RET",2008,1,NA
1680,"BILLDAWSON","Bill Dawson","DL","RET",2008,7,NA
