"playerId","rushAtt","rushYds","rushTds","rec","recYds","recTds","fumbles","analyst","player","position","games","rush1st","rush40","rec1st","rec40","returnYds","returnTds","twoPts","rush100","rush150","rush200","regTds","season"
2543583,225,995,8.5,59,564,2.4,1.8,-1,"Devonta Freeman","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2543600,54,226,0.7,13,75,0.5,1.7,-1,"Alfred Blue","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2543603,150,546,5.4,18,134,0.6,1.3,-1,"Jeremy Hill","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2543664,182,746,4.7,28,186,0.8,1,-1,"Terrance West","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2543695,3,8,0,0,2,0,0,-1,"Jay Prosch","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2543704,8,30,0.5,1,7,0,0.1,-1,"Lorenzo Taliaferro","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2543715,35,127,0.5,10,57,0.5,1.3,-1,"Jerick McKinnon","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2543743,211,944,5.6,24,139,2.1,5.6,-1,"Carlos Hyde","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2543770,85,320,1.4,46,424,2.5,2.6,-1,"Charles Sims","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2543773,60,226,1.9,52,480,4.7,1.4,-1,"James White","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2550189,226,973,6,39,303,0.6,1.6,-1,"Isaiah Crowell","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2550235,0,0,0,1,5,0,0,-1,"Roosevelt Nix","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2550263,5,17,0.2,1,6,0,0.3,-1,"Juwan Thompson","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2550268,57,204,1.3,13,95,1,1.8,-1,"Charcandrick West","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2550474,14,58,0.3,2,14,0,0.2,-1,"Antonio Andrews","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2550481,71,250,3.2,20,127,0.7,1.5,-1,"Orleans Darkwa","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2550512,64,237,1.8,24,247,3.4,1.7,-1,"Damien Williams","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2550542,7,42,0.1,0,15,0.2,0.2,-1,"Kapri Bibbs","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2550658,68,242,1.6,15,144,0.6,1.9,-1,"Branden Oliver","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2550738,7,26,0.1,2,16,0,0.1,-1,"Fitzgerald Toussaint","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2551357,7,24,0.1,2,11,0,0.2,-1,"Glenn Winston","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2552374,191,706,4.7,31,269,2.4,1.9,-1,"Ameer Abdullah","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2552375,34,138,1.3,1,16,0,0.2,-1,"Cameron Artis-Payne","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2552379,16,75,0.6,4,35,0,0.3,-1,"Jeremy Langford","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2552453,152,647,6.5,33,431,4,1.3,-1,"Tevin Coleman","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2552461,72,305,1.5,62,552,0.6,1.4,-1,"Duke Johnson","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
2552464,2,4,0.2,1,14,0.2,0,-1,"Jalston Fowler","RB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
