"trim_name","position","stdev","adp"
"KENDALLWRIGHT","WR",20,"315.0"
"KENNETHDIXON","RB",20,"217.7"
"KENNYBRITT","WR",20,"312.0"
"KENNYGOLLADAY","WR",10,"132.9"
"KENNYSTILLS","WR",11.1,"129.5"
"KENYANDRAKE","RB",5.2,"38.9"
"KERRYONJOHNSON","RB",7.4,"57.8"
"KERWYNNWILLIAMS","RB",20,"309.0"
"KEVINWHITE","WR",20,"290.0"
"KIRKCOUSINS","QB",9.3,"82"
"KYLELAULETTA","QB",20,"332.0"
"KYLERUDOLPH","TE",8.2,"73.7"
"LAMARJACKSON","QB",20,"203.3"
"LAMARMILLER","RB",4.5,"35.8"
"LAQUONTREADWELL","WR",20,"308.0"
"LARRYFITZGERALD","WR",5.1,"46.1"
"LATAVIUSMURRAY","RB",12.5,"123.4"
"LEGARRETTEBLOUNT","RB",11,"100.8"
"LEONARDFOURNETTE","RB",1.6,"8.1"
"LESEANMCCOY","RB",4.2,"28"
"LEVEONBELL","RB",0.9,"2.5"
"LOSANGELESCHARGERS","DST",20,"137.3"
"LOSANGELESRAMS","DST",20,"111.3"
"LUKEWILLSON","TE",20,"263.0"
"MACKHOLLINS","WR",20,"267.0"
"MALCOLMBROWN","RB",20,"358.0"
"MARCEDESLEWIS","TE",20,"324.0"
"MARCUSMARIOTA","QB",10.6,"132.8"
"MARKANDREWS","TE",20,"248.0"
"MARKINGRAM","RB",5.1,"42.6"
"MARKWALTON","RB",20,"294.0"
"MARLONMACK","RB",8.3,"68.4"
"MARQISELEE","WR",8.6,"135.5"
"MARQUISEGOODWIN","WR",7.1,"66.7"
"MARSHAWNLYNCH","RB",6.6,"47.1"
"MARTAVISBRYANT","WR",11.3,"143.5"
"MARVINJONES","WR",5.3,"57.4"
"MASONCROSBY","K",20,"218.8"
"MASONRUDOLPH","QB",20,"306.0"
"MATTBREIDA","RB",15.4,"145"
"MATTBRYANT","K",20,"197.6"
"MATTHEWSTAFFORD","QB",9.1,"96.4"
"MATTPRATER","K",20,"215.4"
"MATTRYAN","QB",9.2,"110"
"MELVINGORDON","RB",1.6,"9.1"
"MICHAELCRABTREE","WR",8,"76"
"MICHAELGALLUP","WR",13.4,"150.4"
"MICHAELTHOMAS","WR",2.4,"17.5"
"MIKEDAVIS","RB",20,"351.0"
"MIKEEVANS","WR",2.9,"26"
"MIKEGESICKI","TE",14.4,"161.9"
"MIKEGILLISLEE","RB",20,"307.5"
"MIKEWALLACE","WR",20,"256.3"
"MIKEWILLIAMS","WR",10,"111.8"
"MINNESOTAVIKINGS","DST",20,"117.5"
"MITCHTRUBISKY","QB",12,"163.1"
"MOHAMEDSANU","WR",15,"162"
"NELSONAGHOLOR","WR",10,"108.1"
