"playerId","dstInt","dstFumlRec","dstSack","dstTd","dstSafety","dstPtsAllow","analyst","player","position","games","dstBlk","returnYds","dstRetTd","season"
100009,15,8,35,3,NA,NA,19,"Broncos","DST",NA,NA,NA,2,2015
100010,13,9,40,3,NA,NA,19,"Lions","DST",NA,NA,NA,0,2015
100011,20,8,41,4,NA,NA,19,"Packers","DST",NA,NA,NA,1,2015
100012,13,8,34,1,NA,NA,19,"Titans","DST",NA,NA,NA,2,2015
100013,21,14,48,3,NA,NA,19,"Texans","DST",NA,NA,NA,1,2015
100014,14,8,30,2,NA,NA,19,"Colts","DST",NA,NA,NA,1,2015
100015,14,9,28,1,NA,NA,19,"Jaguars","DST",NA,NA,NA,0,2015
100016,16,10,35,2,NA,NA,19,"Chiefs","DST",NA,NA,NA,0,2015
100018,12,10,21,1,NA,NA,19,"Raiders","DST",NA,NA,NA,1,2015
100019,15,9,44,1,NA,NA,19,"Dolphins","DST",NA,NA,NA,2,2015
100020,12,12,46,2,NA,NA,19,"Vikings","DST",NA,NA,NA,1,2015
100021,20,16,38,3,NA,NA,19,"Patriots","DST",NA,NA,NA,1,2015
100022,15,10,27,3,NA,NA,19,"Saints","DST",NA,NA,NA,0,2015
100023,16,10,35,1,NA,NA,19,"Giants","DST",NA,NA,NA,1,2015
100024,16,13,38,2,NA,NA,19,"Jets","DST",NA,NA,NA,2,2015
100025,12,11,38,1,NA,NA,19,"Eagles","DST",NA,NA,NA,1,2015
100026,16,9,34,2,NA,NA,19,"Cardinals","DST",NA,NA,NA,2,2015
100027,14,12,39,2,NA,NA,19,"Steelers","DST",NA,NA,NA,1,2015
100029,18,14,43,4,NA,NA,19,"49ers","DST",NA,NA,NA,1,2015
100030,19,14,39,4,NA,NA,19,"Seahawks","DST",NA,NA,NA,1,2015
100031,20,9,31,3,NA,NA,19,"Buccaneers","DST",NA,NA,NA,0,2015
100032,15,10,38,2,NA,NA,19,"Redskins","DST",NA,NA,NA,0,2015
100001,14,10,35,3,0,406,28,"Falcons","DST",16,NA,NA,NA,2015
100002,15,11,36,3,0,321,28,"Ravens","DST",16,NA,NA,NA,2015
100003,14,8,39,2,0,378,28,"Bills","DST",16,NA,NA,NA,2015
100004,17,12,40,3,1,402,28,"Panthers","DST",16,NA,NA,NA,2015
100005,9,7,36,2,1,399,28,"Bears","DST",16,NA,NA,NA,2015
100006,17,7,36,2,1,315,28,"Bengals","DST",16,NA,NA,NA,2015
100007,12,7,32,2,0,452,28,"Browns","DST",16,NA,NA,NA,2015
100008,11,11,35,2,0,306,28,"Cowboys","DST",16,NA,NA,NA,2015
100009,16,12,41,4,0,297,28,"Broncos","DST",16,NA,NA,NA,2015
100010,11,8,34,2,2,358,28,"Lions","DST",16,NA,NA,NA,2015
100011,15,8,36,2,0,388,28,"Packers","DST",16,NA,NA,NA,2015
100012,13,8,39,2,0,378,28,"Titans","DST",16,NA,NA,NA,2015
100013,15,12,44,3,1,328,28,"Texans","DST",16,NA,NA,NA,2015
100014,11,10,34,2,0,392,28,"Colts","DST",16,NA,NA,NA,2015
100015,13,10,38,3,0,400,28,"Jaguars","DST",16,NA,NA,NA,2015
100016,18,11,41,3,1,311,28,"Chiefs","DST",16,NA,NA,NA,2015
100018,15,11,35,3,0,385,28,"Raiders","DST",16,NA,NA,NA,2015
100019,15,9,34,3,0,380,28,"Dolphins","DST",16,NA,NA,NA,2015
100020,15,10,41,3,1,307,28,"Vikings","DST",16,NA,NA,NA,2015
100021,14,10,38,3,3,250,28,"Patriots","DST",16,NA,NA,NA,2015
100022,13,11,34,2,1,454,28,"Saints","DST",16,NA,NA,NA,2015
100023,17,11,43,4,0,284,28,"Giants","DST",16,NA,NA,NA,2015
100024,9,9,33,2,0,409,28,"Jets","DST",16,NA,NA,NA,2015
100025,15,11,38,3,1,331,28,"Eagles","DST",16,NA,NA,NA,2015
100026,17,12,44,4,2,362,28,"Cardinals","DST",16,NA,NA,NA,2015
100027,14,11,38,2,1,327,28,"Steelers","DST",16,NA,NA,NA,2015
100029,11,10,34,2,1,480,28,"49ers","DST",16,NA,NA,NA,2015
100030,14,10,43,3,1,292,28,"Seahawks","DST",16,NA,NA,NA,2015
100031,15,12,39,3,1,369,28,"Buccaneers","DST",16,NA,NA,NA,2015
100032,13,11,37,2,0,383,28,"Redskins","DST",16,NA,NA,NA,2015
100001,14,12,29,4,0,370,-1,"Falcons","DST",NA,NA,NA,NA,2016
100002,15,13,37,5,0,281,-1,"Ravens","DST",NA,NA,NA,NA,2016
100003,15,10,36,4,0,386,-1,"Bills","DST",NA,NA,NA,NA,2016
100004,14,14,41,4,1,361,-1,"Panthers","DST",NA,NA,NA,NA,2016
100005,11,8,40,4,0,394,-1,"Bears","DST",NA,NA,NA,NA,2016
100006,15,9,34,4,0,296,-1,"Bengals","DST",NA,NA,NA,NA,2016
100007,15,8,32,3,0,377,-1,"Browns","DST",NA,NA,NA,NA,2016
